Country,Total
Afghanistan,15.42
Albania,38.72
Algeria,27.36
Andorra,51.65
Angola,24.22
Antigua and Barbuda,47.73
Argentina,54.51
Armenia,31.69
Australia,55.2
Austria,79.68
Azerbaijan,30.08
Bahamas,45.52
Bahrain,36.15
Bangladesh,23.58
Barbados,46.27
Belarus,34.84
Belgium,79.75
Belize,34.12
Benin,31.8
Bhutan,27.5
Bolivia (Plurinational State of),35.81
Bosnia and Herzegovina,38.83
Botswana,32.95
Brazil,54.31
Brunei Darussalam,49.23
Bulgaria,74.95
Burkina Faso,29.77
Burundi,20.03
Cambodia,24.61
Cameroon,22.38
Canada,55.34
Cape Verde,34.24
Central African Republic,17.61
Chad,20.71
Chile,55.17
China,44.34
Chinese Taipei (Taiwan),46.11
Colombia,43.34
Commonwealth of Dominica,43.87
Comoros,24.21
Congo (Democratic Republic of the),18.02
Congo (Republic of the),23.27
Costa Rica,45.5
Côte d'Ivoire,30.03
Croatia,73.8
Cuba,30.01
Cyprus,75.33
Czech Republic,79.02
Denmark,81.72
Djibouti,21.67
Dominican Republic,30.2
Ecuador,39.07
Egypt,25.67
El Salvador,39.67
Equatorial Guinea,24.79
Eritrea,18.79
Estonia,77.07
Ethiopia,19.88
Fiji,33.16
Finland,81.18
France,83.46
Gabon,26.8
Gambia,32.24
Georgia,37.52
Germany,82.75
Ghana,33.92
Greece,77.26
Grenada,45.68
Guatemala,39.05
Guinea,29.87
Guinea-Bissau,28.83
Guyana,33.61
Haiti,23.57
Honduras,39.23
"Hong Kong, China (SAR)",48.86
Hungary,77.52
Iceland,81.4
India,32.18
Indonesia,31.81
Iran (Islamic Republic of),26.16
Iraq,19.38
Ireland,80.24
Israel,46.68
Italy,80.67
Jamaica,32.01
Japan,58.41
Jordan,26.77
Kazakhstan,35.67
Kenya,26.91
Kiribati,36.57
Korea (DPRK),22.89
Korea (Republic of),54.25
Kosovo,25.32
Kuwait,39.03
Kyrgyzstan,30.62
Lao People's Democratic Republic,25.3
Latvia,76.96
Lebanon,25.11
Lesotho,26.56
Liberia,28.62
Libya,21.67
Liechtenstein,78.95
Lithuania,77
Luxembourg,78.99
Macao,43.76
Macedonia,39.34
Madagascar,24.53
Malawi,26.36
Malaysia,51.03
Maldives,33.03
Mali,27.85
Malta,77.55
Marshall Islands,41.84
Mauritania,24.09
Mauritius,45.19
Mexico,45.68
Micronesia (Federated States of),40.17
Moldova (Republic of),38.61
Monaco,52.52
Mongolia,29.29
Montenegro,40.94
Morocco,28.13
Mozambique,23.28
Myanmar,23.05
Namibia,30.05
Nauru,32.03
Nepal,22.98
Netherlands,82.82
New Zealand,54.78
Nicaragua,38.54
Niger,27.38
Nigeria,28.11
Sudan (Republic of the),18.92
Norway,81.51
Oman,37.05
Pakistan,18.97
Palau,42.74
Palestinian Territory,23.09
Panama,43.79
Papua New Guinea,28.74
Paraguay,46.82
Peru,45.64
Philippines,27.88
Poland,77
Portugal,78.99
Qatar,37.1
Romania,75.25
Russian Federation,41.99
Rwanda,23.33
Saint Kitts and Nevis,47.49
Saint Lucia,45.47
Saint Vincent and the Grenadines,46.27
Samoa,39.65
San Marino,51.37
Sao Tome and Principe,25.78
Saudi Arabia,36.15
Senegal,31.32
Serbia,42.15
Seychelles,46.25
Sierra Leone,31.28
Singapore,55.11
Slovakia,77.47
Slovenia,78.63
Solomon Islands,36.49
Somalia,13.83
South Africa,34.99
South Sudan,15.9
Spain,80
Sri Lanka,26.24
Suriname,33.09
Swaziland,27.78
Sweden,81.54
Switzerland,79.78
Syrian Arab Republic,16.85
Tajikistan,27.92
Tanzania (United Republic of),27.04
Thailand,32.38
Timor-Leste,33.07
Togo,30.35
Tonga,38.66
Trinidad and Tobago,43.27
Tunisia,29.9
Turkey,37.75
Turkmenistan,26.7
Tuvalu,38.56
Uganda,25.15
Ukraine,38.16
United Arab Emirates,50.33
United Kingdom,80.33
United States,70.05
Uruguay,50.49
Uzbekistan,29.29
Vanuatu,37.07
Venezuela (Bolivarian Republic of),44.32
Viet Nam,26.77
Yemen,17.25
Zambia,27.58
Zimbabwe,24.92
Israeli Laissez-passer ,31
British Nationals (Overseas),25.22
British overseas territories ,25.11
British overseas territories (Gibraltar),56.02
British Overseas citizens ,22.77
British protected persons,22.59
British subjects,22.56
Isle of Man,53.16
Jersey,53.27
Guernsey,53.2
Latvia (Non-Citzen),30.81