,countryA_alpha2,countryB_alpha2,metric
0,UA,CO,0.0
1,UA,KR,0.3
2,UA,US,0.0
3,UA,BG,0.0
4,UA,BZ,0.0
5,UA,AU,0.02
6,UA,JP,0.08
7,UA,NL,0.02
8,UA,HK,0.0
9,UA,LT,0.02
10,UA,RO,0.0
11,UA,KE,0.0
12,UA,ES,0.02
13,UA,VN,0.0
14,UA,MX,0.0
15,UA,PE,0.0
16,UA,SE,0.0
17,UA,NZ,0.0
18,UA,FR,0.0
19,UA,ID,0.0
20,UA,ZA,0.02
21,UA,HU,0.0
22,UA,SK,0.0
23,UA,CL,0.02
24,UA,CN,0.08
25,UA,LU,0.0
26,UA,IN,0.08
27,UA,SG,0.0
28,UA,TW,0.0
29,UA,MD,0.0
30,UA,NO,0.0
31,UA,RU,0.14
32,UA,AD,0.0
33,UA,CA,0.0
34,UA,RS,0.0
35,UA,FI,0.0
36,UA,MY,0.0
37,UA,BE,0.0
38,UA,IS,0.02
39,UA,VE,0.04
40,UA,PT,0.0
41,UA,DK,0.0
42,UA,CZ,0.0
43,UA,IL,0.0
44,UA,TR,0.04
45,UA,PL,0.0
46,UA,DZ,0.0
47,UA,BR,0.0
48,UA,SC,0.02
49,UA,SA,0.06
50,UA,AT,0.0
51,UA,GR,0.0
52,UA,CR,0.0
53,UA,LI,0.0
54,CO,KR,0.44
55,CO,US,0.0
56,CO,BG,0.0
57,CO,BZ,0.0
58,CO,AU,0.08
59,CO,JP,0.08
60,CO,NL,0.06
61,CO,HK,0.04
62,CO,LT,0.04
63,CO,RO,0.0
64,CO,KE,0.0
65,CO,ES,0.04
66,CO,VN,0.0
67,CO,MX,0.02
68,CO,PE,0.0
69,CO,SE,0.04
70,CO,NZ,0.0
71,CO,FR,0.02
72,CO,ID,0.0
73,CO,ZA,0.02
74,CO,HU,0.02
75,CO,SK,0.02
76,CO,CL,0.02
77,CO,CN,0.18
78,CO,LU,0.02
79,CO,IN,0.16
80,CO,SG,0.02
81,CO,TW,0.02
82,CO,MD,0.02
83,CO,NO,0.0
84,CO,RU,0.16
85,CO,AD,0.0
86,CO,CA,0.0
87,CO,RS,0.0
88,CO,FI,0.02
89,CO,MY,0.0
90,CO,BE,0.02
91,CO,IS,0.0
92,CO,VE,0.02
93,CO,PT,0.0
94,CO,DK,0.0
95,CO,CZ,0.0
96,CO,IL,0.0
97,CO,TR,0.04
98,CO,PL,0.0
99,CO,DZ,0.0
100,CO,BR,0.02
101,CO,SC,0.02
102,CO,SA,0.02
103,CO,AT,0.0
104,CO,GR,0.0
105,CO,CR,0.0
106,CO,LI,0.0
107,KR,US,0.0
108,KR,BG,0.0
109,KR,BZ,0.0
110,KR,AU,0.04
111,KR,JP,0.12
112,KR,NL,0.14
113,KR,HK,0.1
114,KR,LT,0.04
115,KR,RO,0.02
116,KR,KE,0.0
117,KR,ES,0.06
118,KR,VN,0.0
119,KR,MX,0.02
120,KR,PE,0.0
121,KR,SE,0.06
122,KR,NZ,0.06
123,KR,FR,0.06
124,KR,ID,0.02
125,KR,ZA,0.02
126,KR,HU,0.0
127,KR,SK,0.0
128,KR,CL,0.02
129,KR,CN,0.22
130,KR,LU,0.06
131,KR,IN,0.26
132,KR,SG,0.02
133,KR,TW,0.06
134,KR,MD,0.04
135,KR,NO,0.0
136,KR,RU,0.18
137,KR,AD,0.0
138,KR,CA,0.0
139,KR,RS,0.0
140,KR,FI,0.02
141,KR,MY,0.0
142,KR,BE,0.02
143,KR,IS,0.0
144,KR,VE,0.02
145,KR,PT,0.0
146,KR,DK,0.0
147,KR,CZ,0.0
148,KR,IL,0.0
149,KR,TR,0.02
150,KR,PL,0.04
151,KR,DZ,0.0
152,KR,BR,0.04
153,KR,SC,0.02
154,KR,SA,0.0
155,KR,AT,0.02
156,KR,GR,0.0
157,KR,CR,0.02
158,KR,LI,0.0
159,US,BG,0.0
160,US,BZ,0.0
161,US,AU,0.1
162,US,JP,0.12
163,US,NL,0.14
164,US,HK,0.06
165,US,LT,0.04
166,US,RO,0.02
167,US,KE,0.0
168,US,ES,0.04
169,US,VN,0.0
170,US,MX,0.04
171,US,PE,0.02
172,US,SE,0.06
173,US,NZ,0.02
174,US,FR,0.02
175,US,ID,0.0
176,US,ZA,0.02
177,US,HU,0.02
178,US,SK,0.02
179,US,CL,0.02
180,US,CN,0.28
181,US,LU,0.02
182,US,IN,0.24
183,US,SG,0.02
184,US,TW,0.04
185,US,MD,0.02
186,US,NO,0.02
187,US,RU,0.16
188,US,AD,0.0
189,US,CA,0.0
190,US,RS,0.0
191,US,FI,0.02
192,US,MY,0.0
193,US,BE,0.02
194,US,IS,0.0
195,US,VE,0.0
196,US,PT,0.0
197,US,DK,0.0
198,US,CZ,0.0
199,US,IL,0.0
200,US,TR,0.04
201,US,PL,0.0
202,US,DZ,0.0
203,US,BR,0.04
204,US,SC,0.02
205,US,SA,0.04
206,US,AT,0.0
207,US,GR,0.0
208,US,CR,0.0
209,US,LI,0.0
210,BG,BZ,0.0
211,BG,AU,0.08
212,BG,JP,0.04
213,BG,NL,0.06
214,BG,HK,0.02
215,BG,LT,0.02
216,BG,RO,0.0
217,BG,KE,0.0
218,BG,ES,0.02
219,BG,VN,0.0
220,BG,MX,0.0
221,BG,PE,0.0
222,BG,SE,0.0
223,BG,NZ,0.02
224,BG,FR,0.0
225,BG,ID,0.0
226,BG,ZA,0.02
227,BG,HU,0.0
228,BG,SK,0.0
229,BG,CL,0.02
230,BG,CN,0.14
231,BG,LU,0.0
232,BG,IN,0.14
233,BG,SG,0.0
234,BG,TW,0.0
235,BG,MD,0.0
236,BG,NO,0.0
237,BG,RU,0.12
238,BG,AD,0.0
239,BG,CA,0.0
240,BG,RS,0.0
241,BG,FI,0.0
242,BG,MY,0.0
243,BG,BE,0.0
244,BG,IS,0.0
245,BG,VE,0.02
246,BG,PT,0.0
247,BG,DK,0.0
248,BG,CZ,0.0
249,BG,IL,0.0
250,BG,TR,0.06
251,BG,PL,0.0
252,BG,DZ,0.0
253,BG,BR,0.02
254,BG,SC,0.02
255,BG,SA,0.1
256,BG,AT,0.0
257,BG,GR,0.0
258,BG,CR,0.0
259,BG,LI,0.0
260,BZ,AU,0.0
261,BZ,JP,0.0
262,BZ,NL,0.0
263,BZ,HK,0.0
264,BZ,LT,0.0
265,BZ,RO,0.0
266,BZ,KE,0.0
267,BZ,ES,0.0
268,BZ,VN,0.0
269,BZ,MX,0.0
270,BZ,PE,0.0
271,BZ,SE,0.0
272,BZ,NZ,0.0
273,BZ,FR,0.0
274,BZ,ID,0.0
275,BZ,ZA,0.0
276,BZ,HU,0.0
277,BZ,SK,0.0
278,BZ,CL,0.0
279,BZ,CN,0.0
280,BZ,LU,0.0
281,BZ,IN,0.0
282,BZ,SG,0.0
283,BZ,TW,0.0
284,BZ,MD,0.0
285,BZ,NO,0.0
286,BZ,RU,0.0
287,BZ,AD,0.0
288,BZ,CA,0.0
289,BZ,RS,0.0
290,BZ,FI,0.0
291,BZ,MY,0.0
292,BZ,BE,0.0
293,BZ,IS,0.0
294,BZ,VE,0.0
295,BZ,PT,0.0
296,BZ,DK,0.0
297,BZ,CZ,0.0
298,BZ,IL,0.0
299,BZ,TR,0.0
300,BZ,PL,0.0
301,BZ,DZ,0.0
302,BZ,BR,0.0
303,BZ,SC,0.0
304,BZ,SA,0.0
305,BZ,AT,0.0
306,BZ,GR,0.0
307,BZ,CR,0.0
308,BZ,LI,0.0
309,AU,JP,0.08
310,AU,NL,0.1
311,AU,HK,0.06
312,AU,LT,0.04
313,AU,RO,0.0
314,AU,KE,0.0
315,AU,ES,0.04
316,AU,VN,0.0
317,AU,MX,0.02
318,AU,PE,0.0
319,AU,SE,0.04
320,AU,NZ,0.0
321,AU,FR,0.02
322,AU,ID,0.0
323,AU,ZA,0.02
324,AU,HU,0.02
325,AU,SK,0.02
326,AU,CL,0.02
327,AU,CN,0.22
328,AU,LU,0.02
329,AU,IN,0.14
330,AU,SG,0.02
331,AU,TW,0.02
332,AU,MD,0.0
333,AU,NO,0.0
334,AU,RU,0.18
335,AU,AD,0.0
336,AU,CA,0.0
337,AU,RS,0.0
338,AU,FI,0.02
339,AU,MY,0.0
340,AU,BE,0.02
341,AU,IS,0.0
342,AU,VE,0.0
343,AU,PT,0.0
344,AU,DK,0.0
345,AU,CZ,0.0
346,AU,IL,0.0
347,AU,TR,0.04
348,AU,PL,0.0
349,AU,DZ,0.0
350,AU,BR,0.02
351,AU,SC,0.02
352,AU,SA,0.04
353,AU,AT,0.0
354,AU,GR,0.0
355,AU,CR,0.0
356,AU,LI,0.0
357,JP,NL,0.18
358,JP,HK,0.12
359,JP,LT,0.04
360,JP,RO,0.02
361,JP,KE,0.0
362,JP,ES,0.04
363,JP,VN,0.0
364,JP,MX,0.02
365,JP,PE,0.0
366,JP,SE,0.06
367,JP,NZ,0.04
368,JP,FR,0.06
369,JP,ID,0.02
370,JP,ZA,0.02
371,JP,HU,0.02
372,JP,SK,0.02
373,JP,CL,0.02
374,JP,CN,0.28
375,JP,LU,0.04
376,JP,IN,0.34
377,JP,SG,0.02
378,JP,TW,0.08
379,JP,MD,0.06
380,JP,NO,0.0
381,JP,RU,0.2
382,JP,AD,0.0
383,JP,CA,0.0
384,JP,RS,0.0
385,JP,FI,0.02
386,JP,MY,0.0
387,JP,BE,0.02
388,JP,IS,0.0
389,JP,VE,0.04
390,JP,PT,0.0
391,JP,DK,0.0
392,JP,CZ,0.0
393,JP,IL,0.0
394,JP,TR,0.04
395,JP,PL,0.04
396,JP,DZ,0.0
397,JP,BR,0.04
398,JP,SC,0.02
399,JP,SA,0.04
400,JP,AT,0.02
401,JP,GR,0.0
402,JP,CR,0.02
403,JP,LI,0.0
404,NL,HK,0.06
405,NL,LT,0.02
406,NL,RO,0.0
407,NL,KE,0.0
408,NL,ES,0.02
409,NL,VN,0.0
410,NL,MX,0.0
411,NL,PE,0.0
412,NL,SE,0.0
413,NL,NZ,0.02
414,NL,FR,0.0
415,NL,ID,0.0
416,NL,ZA,0.02
417,NL,HU,0.02
418,NL,SK,0.02
419,NL,CL,0.02
420,NL,CN,0.18
421,NL,LU,0.0
422,NL,IN,0.16
423,NL,SG,0.0
424,NL,TW,0.0
425,NL,MD,0.0
426,NL,NO,0.0
427,NL,RU,0.2
428,NL,AD,0.0
429,NL,CA,0.0
430,NL,RS,0.0
431,NL,FI,0.0
432,NL,MY,0.0
433,NL,BE,0.0
434,NL,IS,0.02
435,NL,VE,0.06
436,NL,PT,0.0
437,NL,DK,0.0
438,NL,CZ,0.0
439,NL,IL,0.0
440,NL,TR,0.06
441,NL,PL,0.0
442,NL,DZ,0.0
443,NL,BR,0.02
444,NL,SC,0.04
445,NL,SA,0.12
446,NL,AT,0.0
447,NL,GR,0.0
448,NL,CR,0.0
449,NL,LI,0.0
450,HK,LT,0.04
451,HK,RO,0.02
452,HK,KE,0.0
453,HK,ES,0.04
454,HK,VN,0.0
455,HK,MX,0.02
456,HK,PE,0.0
457,HK,SE,0.06
458,HK,NZ,0.04
459,HK,FR,0.04
460,HK,ID,0.0
461,HK,ZA,0.02
462,HK,HU,0.02
463,HK,SK,0.04
464,HK,CL,0.02
465,HK,CN,0.16
466,HK,LU,0.04
467,HK,IN,0.24
468,HK,SG,0.04
469,HK,TW,0.02
470,HK,MD,0.0
471,HK,NO,0.0
472,HK,RU,0.16
473,HK,AD,0.0
474,HK,CA,0.0
475,HK,RS,0.0
476,HK,FI,0.02
477,HK,MY,0.0
478,HK,BE,0.02
479,HK,IS,0.0
480,HK,VE,0.0
481,HK,PT,0.0
482,HK,DK,0.0
483,HK,CZ,0.0
484,HK,IL,0.0
485,HK,TR,0.02
486,HK,PL,0.02
487,HK,DZ,0.0
488,HK,BR,0.04
489,HK,SC,0.02
490,HK,SA,0.0
491,HK,AT,0.02
492,HK,GR,0.0
493,HK,CR,0.0
494,HK,LI,0.0
495,LT,RO,0.0
496,LT,KE,0.0
497,LT,ES,0.02
498,LT,VN,0.0
499,LT,MX,0.0
500,LT,PE,0.0
501,LT,SE,0.0
502,LT,NZ,0.0
503,LT,FR,0.0
504,LT,ID,0.0
505,LT,ZA,0.02
506,LT,HU,0.0
507,LT,SK,0.0
508,LT,CL,0.02
509,LT,CN,0.1
510,LT,LU,0.0
511,LT,IN,0.08
512,LT,SG,0.0
513,LT,TW,0.0
514,LT,MD,0.0
515,LT,NO,0.0
516,LT,RU,0.1
517,LT,AD,0.0
518,LT,CA,0.0
519,LT,RS,0.0
520,LT,FI,0.0
521,LT,MY,0.0
522,LT,BE,0.0
523,LT,IS,0.0
524,LT,VE,0.02
525,LT,PT,0.0
526,LT,DK,0.0
527,LT,CZ,0.0
528,LT,IL,0.0
529,LT,TR,0.02
530,LT,PL,0.0
531,LT,DZ,0.0
532,LT,BR,0.0
533,LT,SC,0.02
534,LT,SA,0.04
535,LT,AT,0.0
536,LT,GR,0.0
537,LT,CR,0.0
538,LT,LI,0.0
539,RO,KE,0.0
540,RO,ES,0.02
541,RO,VN,0.0
542,RO,MX,0.0
543,RO,PE,0.0
544,RO,SE,0.0
545,RO,NZ,0.02
546,RO,FR,0.0
547,RO,ID,0.0
548,RO,ZA,0.02
549,RO,HU,0.02
550,RO,SK,0.02
551,RO,CL,0.02
552,RO,CN,0.18
553,RO,LU,0.02
554,RO,IN,0.16
555,RO,SG,0.0
556,RO,TW,0.0
557,RO,MD,0.0
558,RO,NO,0.0
559,RO,RU,0.16
560,RO,AD,0.0
561,RO,CA,0.0
562,RO,RS,0.0
563,RO,FI,0.0
564,RO,MY,0.0
565,RO,BE,0.0
566,RO,IS,0.0
567,RO,VE,0.0
568,RO,PT,0.0
569,RO,DK,0.0
570,RO,CZ,0.0
571,RO,IL,0.0
572,RO,TR,0.08
573,RO,PL,0.0
574,RO,DZ,0.0
575,RO,BR,0.02
576,RO,SC,0.02
577,RO,SA,0.12
578,RO,AT,0.0
579,RO,GR,0.0
580,RO,CR,0.0
581,RO,LI,0.0
582,KE,ES,0.06
583,KE,VN,0.0
584,KE,MX,0.02
585,KE,PE,0.0
586,KE,SE,0.02
587,KE,NZ,0.0
588,KE,FR,0.02
589,KE,ID,0.0
590,KE,ZA,0.02
591,KE,HU,0.02
592,KE,SK,0.04
593,KE,CL,0.02
594,KE,CN,0.18
595,KE,LU,0.02
596,KE,IN,0.2
597,KE,SG,0.02
598,KE,TW,0.04
599,KE,MD,0.0
600,KE,NO,0.0
601,KE,RU,0.12
602,KE,AD,0.0
603,KE,CA,0.0
604,KE,RS,0.0
605,KE,FI,0.02
606,KE,MY,0.0
607,KE,BE,0.02
608,KE,IS,0.0
609,KE,VE,0.0
610,KE,PT,0.0
611,KE,DK,0.0
612,KE,CZ,0.0
613,KE,IL,0.0
614,KE,TR,0.06
615,KE,PL,0.0
616,KE,DZ,0.0
617,KE,BR,0.0
618,KE,SC,0.02
619,KE,SA,0.02
620,KE,AT,0.0
621,KE,GR,0.0
622,KE,CR,0.0
623,KE,LI,0.0
624,ES,VN,0.0
625,ES,MX,0.02
626,ES,PE,0.0
627,ES,SE,0.0
628,ES,NZ,0.02
629,ES,FR,0.0
630,ES,ID,0.0
631,ES,ZA,0.02
632,ES,HU,0.02
633,ES,SK,0.02
634,ES,CL,0.02
635,ES,CN,0.18
636,ES,LU,0.04
637,ES,IN,0.18
638,ES,SG,0.0
639,ES,TW,0.0
640,ES,MD,0.0
641,ES,NO,0.0
642,ES,RU,0.16
643,ES,AD,0.0
644,ES,CA,0.0
645,ES,RS,0.0
646,ES,FI,0.0
647,ES,MY,0.0
648,ES,BE,0.0
649,ES,IS,0.0
650,ES,VE,0.0
651,ES,PT,0.0
652,ES,DK,0.0
653,ES,CZ,0.0
654,ES,IL,0.0
655,ES,TR,0.08
656,ES,PL,0.02
657,ES,DZ,0.0
658,ES,BR,0.02
659,ES,SC,0.02
660,ES,SA,0.1
661,ES,AT,0.0
662,ES,GR,0.0
663,ES,CR,0.0
664,ES,LI,0.0
665,VN,MX,0.0
666,VN,PE,0.0
667,VN,SE,0.0
668,VN,NZ,0.0
669,VN,FR,0.02
670,VN,ID,0.0
671,VN,ZA,0.02
672,VN,HU,0.02
673,VN,SK,0.02
674,VN,CL,0.02
675,VN,CN,0.12
676,VN,LU,0.02
677,VN,IN,0.14
678,VN,SG,0.0
679,VN,TW,0.0
680,VN,MD,0.0
681,VN,NO,0.0
682,VN,RU,0.1
683,VN,AD,0.0
684,VN,CA,0.0
685,VN,RS,0.0
686,VN,FI,0.0
687,VN,MY,0.0
688,VN,BE,0.0
689,VN,IS,0.0
690,VN,VE,0.0
691,VN,PT,0.0
692,VN,DK,0.0
693,VN,CZ,0.0
694,VN,IL,0.0
695,VN,TR,0.04
696,VN,PL,0.0
697,VN,DZ,0.0
698,VN,BR,0.02
699,VN,SC,0.0
700,VN,SA,0.02
701,VN,AT,0.0
702,VN,GR,0.0
703,VN,CR,0.0
704,VN,LI,0.0
705,MX,PE,0.0
706,MX,SE,0.04
707,MX,NZ,0.0
708,MX,FR,0.02
709,MX,ID,0.0
710,MX,ZA,0.02
711,MX,HU,0.02
712,MX,SK,0.02
713,MX,CL,0.02
714,MX,CN,0.2
715,MX,LU,0.02
716,MX,IN,0.24
717,MX,SG,0.02
718,MX,TW,0.04
719,MX,MD,0.0
720,MX,NO,0.0
721,MX,RU,0.16
722,MX,AD,0.0
723,MX,CA,0.0
724,MX,RS,0.0
725,MX,FI,0.02
726,MX,MY,0.0
727,MX,BE,0.02
728,MX,IS,0.0
729,MX,VE,0.02
730,MX,PT,0.0
731,MX,DK,0.0
732,MX,CZ,0.0
733,MX,IL,0.0
734,MX,TR,0.04
735,MX,PL,0.0
736,MX,DZ,0.0
737,MX,BR,0.02
738,MX,SC,0.04
739,MX,SA,0.0
740,MX,AT,0.0
741,MX,GR,0.0
742,MX,CR,0.0
743,MX,LI,0.0
744,PE,SE,0.02
745,PE,NZ,0.0
746,PE,FR,0.02
747,PE,ID,0.0
748,PE,ZA,0.02
749,PE,HU,0.02
750,PE,SK,0.04
751,PE,CL,0.02
752,PE,CN,0.2
753,PE,LU,0.02
754,PE,IN,0.16
755,PE,SG,0.02
756,PE,TW,0.04
757,PE,MD,0.0
758,PE,NO,0.0
